type,domain,trueClass,predClass,predProb
FP,sub-174-205-23.myvzw.com,non-DGA,DGA,0.9486811453311985
FP,m14.fxlxwxb.net,non-DGA,DGA,0.7306652585106783
FP,dc-03.sea.rack,non-DGA,DGA,0.6624489958477564
FP,q8q4g4t6.hwcdn.net,non-DGA,DGA,0.8010997517231887
FP,pl14937702.pvclouds.com,non-DGA,DGA,0.5194147351916636
FP,us-ny-7.justproxy.io,non-DGA,DGA,0.8725714865192427
FP,m37.fywkuzp.ru,non-DGA,DGA,0.9037118375938215
FP,www.vadasz-bolt.hu,non-DGA,DGA,0.7329975975619125
FP,dhgkrlfxodcywlbaahi.tv,non-DGA,DGA,0.73312888629296
FP,stats.lhjmq.rds.ca,non-DGA,DGA,0.5650923675711167
FP,links.cfr.mkt5175.com,non-DGA,DGA,0.6834879767422459
FP,viewscnt.1616.ro,non-DGA,DGA,0.7578944276952118
FP,www20.hdb.gov.sg,non-DGA,DGA,0.8274521578424774
FP,ns-1885.awsdns-43.co.uk,non-DGA,DGA,0.6123020658948557
FP,detskie-raskraski.ru,non-DGA,DGA,0.5044684966733641
FP,m26.xwtuizg.org,non-DGA,DGA,0.6587039175515309
FP,m24.ddjctyf.biz,non-DGA,DGA,0.736274186452464
FP,fcis844.md3.ford.com,non-DGA,DGA,0.7810194754217893
FP,m30.mbksjzr.org,non-DGA,DGA,0.6625682069671812
FP,m25.sjsqoqk.in,non-DGA,DGA,0.6895251964187723
FP,7336.tlnk.io,non-DGA,DGA,0.9586437049260067
FP,2822.v.fwmrm.net,non-DGA,DGA,0.5710955991927331
FP,m9.gwurnyx.biz,non-DGA,DGA,0.6712207277266579
FP,m34.ietyxrh.biz,non-DGA,DGA,0.6300364838692418
FP,hainan.net.cname1873.yjs-cdn.com,non-DGA,DGA,0.711707060638979
FP,20770807p.rfihub.com,non-DGA,DGA,0.7673919434374133
FP,twfhdhedquwrkfxglxx.net,non-DGA,DGA,0.914511326648984
FP,i.adfurikun.jp,non-DGA,DGA,0.6182368307804011
FP,mkt2984.com,non-DGA,DGA,0.7221911462737067
FP,dxzqlnak.org,non-DGA,DGA,0.8041677688960576
FP,www.quanjing.com,non-DGA,DGA,0.5380328263610097
FP,mlwxaqtayks.bz,non-DGA,DGA,0.8727962953861071
FP,bilbao1912.com.ar,non-DGA,DGA,0.8457055499441493
FP,zagent542.h-cdn.com,non-DGA,DGA,0.5563992536749907
FP,903-j.tlnk.io,non-DGA,DGA,0.8234408577003632
FP,m36.hidhyef.in,non-DGA,DGA,0.7186744053083398
FP,m30.giukuxg.me,non-DGA,DGA,0.557449181060468
FP,m19.bbxqxbn.com,non-DGA,DGA,0.6874328435908095
FP,ms53269.starbucks.net,non-DGA,DGA,0.6928373194388993
FP,r2---sn-cuja-q5jl.gvt1.com,non-DGA,DGA,0.5925278241678977
FP,m10.kpzgczu.net,non-DGA,DGA,0.6590405936806158
FP,itzvyoaau.info,non-DGA,DGA,0.5966957490809407
FP,m20.hjajzyz.com,non-DGA,DGA,0.855060609824014
FP,us-ny-0.justproxy.io,non-DGA,DGA,0.8625948317694015
FP,40017.cn.i17u.net,non-DGA,DGA,0.6127486765269002
FP,www20.zippyshare.com,non-DGA,DGA,0.60101108349942
FP,avatar.prepxwzazcwealkw.xyz,non-DGA,DGA,0.9614003958356125
FP,ns-445.awsdns-55.com,non-DGA,DGA,0.8810230157029854
FP,ns-1485.awsdns-57.org,non-DGA,DGA,0.9526055351023957
FP,ns-1093.awsdns-08.org,non-DGA,DGA,0.9439386211482709
FP,r5.sn-aigzrn7d.gvt1.com,non-DGA,DGA,0.5928279233443425
FP,636f6d.80h48155b1d.webcfs05.com,non-DGA,DGA,0.5432823051187579
FP,m24.nywsqdd.in,non-DGA,DGA,0.5604386431367123
FP,www.bdmusic365.net,non-DGA,DGA,0.6962967823224686
FP,m37.pgbyylt.net,non-DGA,DGA,0.5112036902559339
FP,asiatravel2017.com,non-DGA,DGA,0.7437838825191438
FP,drjyjayq.org,non-DGA,DGA,0.8512270360288738
FP,moscow.220-volt.ru,non-DGA,DGA,0.913341310906149
FP,m21.kprnpfi.biz,non-DGA,DGA,0.700742497978541
FP,smtp1.ec2.33mail.com,non-DGA,DGA,0.6618464272606907
FP,links.vanityfair.mkt6202.com,non-DGA,DGA,0.7815972545953018
FP,247blackjack.com,non-DGA,DGA,0.6672296595603133
FP,3g.club.xywy.com,non-DGA,DGA,0.826452696321538
FP,m30.kuilzqn.com,non-DGA,DGA,0.5574534264639627
FP,la-edns01.npr.org,non-DGA,DGA,0.5691680021164635
FP,tvxdtxxx.net,non-DGA,DGA,0.718673368458788
FP,ip-5-196-67.eu,non-DGA,DGA,0.9984129461932356
FP,uas.g-ha-gmx.net,non-DGA,DGA,0.6903831136395198
FP,sub-174-209-2.myvzw.com,non-DGA,DGA,0.8917654972716608
FP,m5.ddjctyf.biz,non-DGA,DGA,0.6053492594182766
FP,m15.kuwgxyk.com,non-DGA,DGA,0.6476509881810697
FP,m20.wwnjyyq.com,non-DGA,DGA,0.568396462971472
FP,mmi455.whatsapp.net,non-DGA,DGA,0.7498420910520456
FP,bntabc.os17666.com,non-DGA,DGA,0.8550836131397475
FP,pub.247-inc.net,non-DGA,DGA,0.8476593494367595
FP,spam.shouji.360.cn,non-DGA,DGA,0.8126105540328111
FP,awsdns-15.co.uk,non-DGA,DGA,0.6181363359436656
FP,ip191.ip-5-39-61.eu,non-DGA,DGA,0.9994808507080147
FP,m31.qjqqhgy.com,non-DGA,DGA,0.9213724205650861
FP,m21.jqizuas.com,non-DGA,DGA,0.6114503642545608
FP,v1.cqsqiluw.ru,non-DGA,DGA,0.5334311713073939
FP,v1.hzfmyasf.ru,non-DGA,DGA,0.7825051046055559
FP,www.abc.xyz,non-DGA,DGA,0.5006954206737763
FP,s49.ucoz.net,non-DGA,DGA,0.5455984161349217
FP,3jxao.5566688.net,non-DGA,DGA,0.9996534939012195
FP,m32.xdwylcs.in,non-DGA,DGA,0.5624888432440791
FP,r10---sn-bvvbax-hjpl.gvt1.com,non-DGA,DGA,0.5663272895413645
FP,mkto-n0128.com,non-DGA,DGA,0.5208649877261092
FP,ns-576.awsdns-08.net,non-DGA,DGA,0.9133141943717902
FP,m26.yzjkzii.cc,non-DGA,DGA,0.9369052428522744
FP,resi2-2.1-voip.com,non-DGA,DGA,0.5740944812643165
FP,cqxbljoa.org,non-DGA,DGA,0.6347572863119186
FP,outlook-latam2.office365.com,non-DGA,DGA,0.7314933583547325
FP,m24.kfxtjzb.biz,non-DGA,DGA,0.9677392426480853
FP,ns-594.awsdns-10.net,non-DGA,DGA,0.8710438990726364
FP,tbyxbjllueftxgwcy.cc,non-DGA,DGA,0.8251171785676897
FP,m6.qzkxlyh.com,non-DGA,DGA,0.8233374713007625
FP,nbqrqrsagh3fcybgvew9.litix.io,non-DGA,DGA,0.788790184263369
FP,r15---sn-ci5gup-qxa6.gvt1.com,non-DGA,DGA,0.7813727839541826
FP,20782737p.rfihub.com,non-DGA,DGA,0.7538503887342447
FP,r6---sn-vgqskn76.gvt1.com,non-DGA,DGA,0.6678130534574979
FP,m18.zxjicub.com,non-DGA,DGA,0.6070103618107492
FP,m38.ipgbytl.in,non-DGA,DGA,0.5753812842058477
FP,m15.zxjicub.com,non-DGA,DGA,0.6082558425726476
FP,ip62819793.ahcdn.com,non-DGA,DGA,0.9162218182905248
FP,staticgw2.paytm.in,non-DGA,DGA,0.5728891685162698
FP,m8.jjlgbyd.in,non-DGA,DGA,0.8718322987019408
FP,simplymyip.info,non-DGA,DGA,0.5834888816938881
FP,ip-158-69-60.net,non-DGA,DGA,0.9991898797414014
FP,m1.zzypqme.org,non-DGA,DGA,0.8229375919210087
FP,contentz.mkt8305.com,non-DGA,DGA,0.7804550229993172
FP,bmyfbruysl.xxx,non-DGA,DGA,0.9595340725776258
FP,a-0009.a-msedge.net,non-DGA,DGA,0.5624663292727392
FP,www.vec.virginia.gov,non-DGA,DGA,0.5423315904569537
FP,m28.fjpiobz.me,non-DGA,DGA,0.6731569570225828
FP,mzdzgh.bjchy.gov.cn,non-DGA,DGA,0.9157541139273816
FP,southerncaliforniagas.mkt3579.com,non-DGA,DGA,0.7743246561787476
FP,iddnxxqbovxvqirrioaxl.bz,non-DGA,DGA,0.7000869069606346
FP,m5.uzhqgqr.com,non-DGA,DGA,0.7103144635610745
FP,node126.jivosite.com,non-DGA,DGA,0.6302851316201985
FP,xena.appun-vsct.fr,non-DGA,DGA,0.5546802725610601
FP,m7.mdxxuif.me,non-DGA,DGA,0.5393041969789003
FP,ns1-151.akam.net,non-DGA,DGA,0.7513807583502694
FP,priwhomfrkdkwm.tw,non-DGA,DGA,0.5558877882858255
FP,www.jogosfriv2019.com,non-DGA,DGA,0.8714539900814997
FP,www.family-sex.biz,non-DGA,DGA,0.769798808783174
FP,m25.zngcyck.cc,non-DGA,DGA,0.6279941471570378
FP,ip-37-59-19.eu,non-DGA,DGA,0.9989389702553431
FP,m34.jzzoozd.in,non-DGA,DGA,0.8237612261782089
FP,static3.sirporno.xxx,non-DGA,DGA,0.624410386834801
FP,m15.zjfjcuo.net,non-DGA,DGA,0.6971543326078198
FP,m30.yjybbcf.com,non-DGA,DGA,0.6665192471674992
FP,m21.ukznghq.net,non-DGA,DGA,0.704731082884891
FP,m4.jjlgbyd.in,non-DGA,DGA,0.8452978882810656
FP,m6.cqfjzxp.net,non-DGA,DGA,0.6767234941451465
FP,blog59.fc2.com,non-DGA,DGA,0.6086674158813355
FP,sqlobby.pg.qq.com,non-DGA,DGA,0.6823648707669814
FP,apsep02778.uhc.com,non-DGA,DGA,0.9715376073195574
FP,m27.fahirqz.biz,non-DGA,DGA,0.8208434053179557
FP,www169.wixdns.net,non-DGA,DGA,0.6943239874880371
FP,oracle.112.2o7.net,non-DGA,DGA,0.7086382287362463
FP,klokbxjlvlkoegdnx.sx,non-DGA,DGA,0.9434887745261608
FP,m34.gzginqi.org,non-DGA,DGA,0.7112932912686474
FP,entirppl5.chop.edu,non-DGA,DGA,0.5454641096998848
FP,20740705p.rfihub.com,non-DGA,DGA,0.7537158988891448
FP,m28.ardydzj.in,non-DGA,DGA,0.6854547728580098
FP,esp8266.com,non-DGA,DGA,0.5480767017180523
FP,statics.javhdbox.com,non-DGA,DGA,0.5584609463545622
FP,722400.net,non-DGA,DGA,0.8980496447373629
FP,contentz.mkt4335.com,non-DGA,DGA,0.7624675126926399
FP,nsd8.schlundtech.de,non-DGA,DGA,0.6128239554418761
FP,zsoa-mcloud-whch-s6-te-vnso-zn-3.zadn.vn,non-DGA,DGA,0.664947441912483
FP,m36.yypdpaw.cc,non-DGA,DGA,0.6431968443162752
FP,www-604.aig.com,non-DGA,DGA,0.8765541731165456
FP,dc592.4shared.com,non-DGA,DGA,0.506098462720274
FP,m21.xjyjqcm.me,non-DGA,DGA,0.8101810264120395
FP,ns-836.awsdns-40.net,non-DGA,DGA,0.9004463476474563
FP,m19.pkflusw.me,non-DGA,DGA,0.5604405161547894
FP,mmi656.whatsapp.net,non-DGA,DGA,0.7787134998544633
FP,cds.h7k3x8j2.hwcdn.net,non-DGA,DGA,0.8364000082251215
FP,ord-gs-prod-jw2018-015.ludia.net,non-DGA,DGA,0.863287857487077
FP,ka.18183.com,non-DGA,DGA,0.7920451732256043
FP,m39.xyoqxuq.in,non-DGA,DGA,0.9412972955493373
FP,img09.zhaopin.cn,non-DGA,DGA,0.6510119626354307
FP,wzw.wywx.xyz,non-DGA,DGA,0.9592496941881101
FP,ms12995.starbucks.net,non-DGA,DGA,0.6780634190491324
FP,server11.ipsharkk.com,non-DGA,DGA,0.5098263888725547
FP,m38.jjlgbyd.in,non-DGA,DGA,0.8762208706741458
FP,zoomtr157zc.zoom.us,non-DGA,DGA,0.9277988825702097
FP,m17.qpaplwi.biz,non-DGA,DGA,0.7037453602715139
FP,sub-174-221-15.myvzw.com,non-DGA,DGA,0.9284038161603938
FP,t7479e4d.com,non-DGA,DGA,0.9688402567212872
FP,passman01.wifipass.org,non-DGA,DGA,0.5474240144041616
FP,img60.ddimg.cn,non-DGA,DGA,0.7321341730692277
FP,images16.fotki.com,non-DGA,DGA,0.5571353851038521
FP,vwgoalogin.track360.com,non-DGA,DGA,0.564147913475336
FP,tlchil-sm10.thcg.net,non-DGA,DGA,0.5692281657881236
FP,xml.flurryad.com,non-DGA,DGA,0.5286172157403056
FP,www.unblockytproxy.com,non-DGA,DGA,0.5610662888548914
FP,m26.mdjlugj.biz,non-DGA,DGA,0.7523378388671531
FP,v1.bbulfhyu.ru,non-DGA,DGA,0.7486224250142302
FP,a1837.g2.akamai.net,non-DGA,DGA,0.5225323377398507
FP,webshop-r6.ubi.com,non-DGA,DGA,0.6944232301311628
FP,horofriend88.com,non-DGA,DGA,0.5494912431622467
FP,zulu.tv2.dk,non-DGA,DGA,0.7081278090701288
FP,ams10-016.ff.avast.com,non-DGA,DGA,0.5314044659044942
FP,cvqmtprqj.sc,non-DGA,DGA,0.5733815028769647
FP,agent-r03ww.rjgplay.com,non-DGA,DGA,0.6957614037529527
FP,ns-687.awsdns-21.net,non-DGA,DGA,0.8840573214054537
FP,qbpqdesh.xxx,non-DGA,DGA,0.9299741097491574
FP,m23.ppqybtr.org,non-DGA,DGA,0.6107098696463421
FP,118118money.com,non-DGA,DGA,0.6954008453893986
FP,sn-nx57ynl7.gvt1.com,non-DGA,DGA,0.8907930846092827
FP,zagent898.h-cdn.com,non-DGA,DGA,0.7332735659441039
FP,cti.wac.4689.mucdn.net,non-DGA,DGA,0.5538369510920197
FP,r7x4.83mdxozj.com,non-DGA,DGA,0.9884651098854471
FP,kuwusuuinykcmovndgg.bz,non-DGA,DGA,0.6388982195581108
FP,talk1430ip.kik.com,non-DGA,DGA,0.8590879279150443
FP,m33.kpzgczu.net,non-DGA,DGA,0.6888061312087368
FP,grooverelay02.bdo.com,non-DGA,DGA,0.5370538331827615
FP,v1.wyptwxup.net,non-DGA,DGA,0.7743876609923142
FP,po-01.etude2008.local,non-DGA,DGA,0.8147131893851958
FP,www.legal500.com,non-DGA,DGA,0.7246415991139529
FP,v-g-msl-chat-haproxy.433live.com,non-DGA,DGA,0.7242727626683236
FP,ns1prod.12319.azuredns-prd.info,non-DGA,DGA,0.6054435980138738
FP,waitrose.com.102.112.2o7.net,non-DGA,DGA,0.8221639744412552
FP,m10.yqjnxqn.com,non-DGA,DGA,0.803688138958296
FP,m29.mwjlyzj.com,non-DGA,DGA,0.5436754861042596
FP,a9p2x4xyvv.us,non-DGA,DGA,0.9956037881749967
FP,sub-174-193-145.myvzw.com,non-DGA,DGA,0.9542640983993254
FP,m16.asuqjow.in,non-DGA,DGA,0.5663410943475475
FP,tasks.27-5.com,non-DGA,DGA,0.6262963673808979
FP,m41.fahirqz.biz,non-DGA,DGA,0.8335125943492445
FP,ams10-015.ff.avast.com,non-DGA,DGA,0.5227423617428432
FP,m20.jqlwhsl.com,non-DGA,DGA,0.5548159837628095
FP,ziriklinsk.ucoz.ru,non-DGA,DGA,0.5269766568574508
FP,ns-1236.awsdns-26.org,non-DGA,DGA,0.933465081176569
FP,1000ordi.ch,non-DGA,DGA,0.8216602723334088
FP,hosyusokuhou.jp,non-DGA,DGA,0.8589760360571975
FP,m38.muhkpyk.in,non-DGA,DGA,0.7237926695960678
FP,r3.sn-ab5szn7s.gvt1.com,non-DGA,DGA,0.6585327114566211
FP,sexuallybroken.com,non-DGA,DGA,0.531354808719095
FP,in-buzz.ucweb.com,non-DGA,DGA,0.5645923798101797
FP,m28.nxcqyhf.net,non-DGA,DGA,0.565066407744057
FP,occ-0-1256-90.1.nflxso.net,non-DGA,DGA,0.5243194716232324
FP,ip-158-69-240.net,non-DGA,DGA,0.9992679248828971
FP,a1822.q.akamai.net,non-DGA,DGA,0.6302345060136209
FP,v501.britlink.com,non-DGA,DGA,0.63577824965045
FP,ns1-109.akam.net,non-DGA,DGA,0.855310177964687
FP,sub-174-235-22.myvzw.com,non-DGA,DGA,0.942433376610557
FP,adsinteractive-794b.kxcdn.com,non-DGA,DGA,0.6729947502988805
FP,marykay.102.122.2o7.net,non-DGA,DGA,0.8535636543798639
FP,m24.jqjfomk.com,non-DGA,DGA,0.5872505524240497
FP,m11.bbxqxbn.com,non-DGA,DGA,0.6926469822755155
FP,v1.unbhxddu.net,non-DGA,DGA,0.7075836667312887
FP,m17.swkdsjm.biz,non-DGA,DGA,0.6978768138774699
FP,xp003.itsupport247.net,non-DGA,DGA,0.5307023587499378
FP,ip80.ip-54-36-65.eu,non-DGA,DGA,0.9997081509378626
FP,mmi718.whatsapp.net,non-DGA,DGA,0.7054542043031743
FP,fuzzyfrog.io,non-DGA,DGA,0.8965362430026459
FP,m20.wqdbife.biz,non-DGA,DGA,0.8216502134365825
FP,m14.xytojgy.me,non-DGA,DGA,0.7419503086721175
FP,ns-235.awsdns-29.com,non-DGA,DGA,0.8598334960721559
FP,m41.yfwqjxo.com,non-DGA,DGA,0.7718379845872299
FP,bustygirlsdb.com,non-DGA,DGA,0.5233336666873769
FP,53.ucp-ntfy.kaspersky-labs.com,non-DGA,DGA,0.5118693788814639
FP,ns-880.awsdns-46.net,non-DGA,DGA,0.912697308484649
FP,v1.xjupochp.ru,non-DGA,DGA,0.6146874557105477
FP,push.5z5zw.com,non-DGA,DGA,0.8518972047416329
FP,m38.ljxdqzu.com,non-DGA,DGA,0.792913667397219
FP,addlog.thuvienphapluat.vn,non-DGA,DGA,0.5187492427313918
FP,sk75.ica.g6.zing.vn,non-DGA,DGA,0.8516354740132879
FP,www.plusbus.info,non-DGA,DGA,0.6446052826790647
FP,openbox.mobilem.360.cn,non-DGA,DGA,0.6350096748465354
FP,cardinalhealth.122.2o7.net,non-DGA,DGA,0.6500660657318718
FP,m25.mngbqpz.cc,non-DGA,DGA,0.5668155311968925
FP,m10.blpuwos.biz,non-DGA,DGA,0.5281225277862365
FP,a1328.g2.akamai.net,non-DGA,DGA,0.5061438747157704
FP,h10141.www1.hp.com,non-DGA,DGA,0.7020970818236958
FP,line-03.ccf4ab51771cacd46d.com,non-DGA,DGA,0.7742478834462612
FP,nc10088.com,non-DGA,DGA,0.6022389164679001
FP,djmixer2018.com,non-DGA,DGA,0.8466131005730844
FP,www.eazypeazymealz.com,non-DGA,DGA,0.7111194180972891
FP,contentz.mkt6210.com,non-DGA,DGA,0.6651808027985132
FP,www.tvabc23db.com,non-DGA,DGA,0.7466636709838317
FP,mx2.qub.ac.uk,non-DGA,DGA,0.7315296167965337
FP,psj-gs09.wgt.com,non-DGA,DGA,0.8065480726023448
FP,ip26158406.ahcdn.com,non-DGA,DGA,0.8857044031191382
FP,m33.yqjnxqn.com,non-DGA,DGA,0.8241945824257539
FP,m13.wzbfplf.com,non-DGA,DGA,0.5104285972296754
FP,45tu1c0.com,non-DGA,DGA,0.6279627095889345
FP,talk1450an.kik.com,non-DGA,DGA,0.7838879034084045
FP,m38.sykfwqq.com,non-DGA,DGA,0.664485033403776
FP,m34.dzhyqet.com,non-DGA,DGA,0.6172203979492323
FP,ss3.4sqi.net,non-DGA,DGA,0.5060353164295367
FP,mkt4012.com,non-DGA,DGA,0.5108597401876116
FP,m19.wjffggj.in,non-DGA,DGA,0.8918944096341364
FP,occ-0-2129-987.1.nflxso.net,non-DGA,DGA,0.555023646457224
FP,m30.kfxtjzb.biz,non-DGA,DGA,0.9694824931326579
FP,ycv.1578781.com,non-DGA,DGA,0.9951318076255756
FP,m21.ddjhlet.biz,non-DGA,DGA,0.6794345046503023
FP,m21.fkjhjnb.com,non-DGA,DGA,0.6912483032723622
FP,www.1010tires.com,non-DGA,DGA,0.7297951143783563
FP,m25.mwjlyzj.com,non-DGA,DGA,0.5454030016054743
FP,tysdk.95516.com,non-DGA,DGA,0.9586021369798728
FP,sub-174-204-8.myvzw.com,non-DGA,DGA,0.9330011217373992
FP,m7.zkyfjus.com,non-DGA,DGA,0.7235462987900494
FP,profile.blizzard.com,non-DGA,DGA,0.6164603522821356
FP,q.soft.360safe.com,non-DGA,DGA,0.7854345447015256
FP,mogw0804.ocn.ad.jp,non-DGA,DGA,0.7685833193780512
FP,ns-58.awsdns-07.com,non-DGA,DGA,0.879784763144662
FP,pje.trt9.jus.br,non-DGA,DGA,0.5931388455766005
FP,ns-283.awsdns-35.com,non-DGA,DGA,0.8800531934806051
FP,s25033.pcdn.co,non-DGA,DGA,0.8667290674241435
FP,kicker.de.122.2o7.net,non-DGA,DGA,0.7058883289633159
FP,www.zisbrygtluib.com,non-DGA,DGA,0.6569974288145621
FP,m17.uxrahzd.net,non-DGA,DGA,0.5416567356175415
FP,sn-h5576n7k.gvt1.com,non-DGA,DGA,0.9583549636546616
FP,m20.zuxqsfy.com,non-DGA,DGA,0.7805383849356016
FP,m13.qflqwlh.com,non-DGA,DGA,0.5782518210252858
FP,s-94.bstvidimp.com,non-DGA,DGA,0.578676672798347
FP,m39.eqesdfs.biz,non-DGA,DGA,0.5315899036828474
FP,m0.sjsqoqk.in,non-DGA,DGA,0.6303560889587115
FP,w3r8v9f8.hwcdn.net,non-DGA,DGA,0.8305886578315339
FP,wlb.as8677.net,non-DGA,DGA,0.8034393909678179
FP,m15.kxoxpdw.in,non-DGA,DGA,0.7388366219790361
FP,fhf25l.vkcache.com,non-DGA,DGA,0.5012506261754884
FP,s96.cnzz.com,non-DGA,DGA,0.7306099307561866
FP,m29.qjbyfio.com,non-DGA,DGA,0.6695896706052477
FP,r4---sn-cvh76n7k.gvt1.com,non-DGA,DGA,0.5665801378849886
FP,cbhx8h.vkcache.com,non-DGA,DGA,0.5115679105041795
FP,cn984n.vkcache.com,non-DGA,DGA,0.7470866040638902
FP,www.cyfrowypolsat.pl,non-DGA,DGA,0.5001589374169233
FP,ip-139-99-201.eu,non-DGA,DGA,0.9997032711864483
FP,occ-0-56-2430.1.nflxso.net,non-DGA,DGA,0.6099346060992542
FP,tkwl01.bbgrp.net,non-DGA,DGA,0.7881726711300123
FP,t9jz.adj.st,non-DGA,DGA,0.7420653971305871
FP,m32.nyijxdx.com,non-DGA,DGA,0.5149568400335937
FP,cjgjxrtk.cc,non-DGA,DGA,0.5181312435394843
FP,y67bddt5o.name,non-DGA,DGA,0.5949781667634536
FP,occ-0-1474-64.1.nflxso.net,non-DGA,DGA,0.5206466469171382
FP,m24.gzginqi.org,non-DGA,DGA,0.7004720548193937
FP,affordabletube.xyz,non-DGA,DGA,0.8288478277793618
FP,m27.ppqybtr.org,non-DGA,DGA,0.6094671816335033
FP,r2---sn-i3b7kn7d.gvt1.com,non-DGA,DGA,0.5177215700049391
FP,r13---sn-bvvbax-15be.gvt1.com,non-DGA,DGA,0.5827530993180159
FP,corsairs-harbour.ru,non-DGA,DGA,0.576270541032962
FP,q6q29.app.goo.gl,non-DGA,DGA,0.820179094046171
FP,ns-1492.awsdns-58.org,non-DGA,DGA,0.948483732307048
FP,hcsksjezfb.info,non-DGA,DGA,0.8711301852618787
FP,selenium-74.icpacs.eu,non-DGA,DGA,0.6244721215798856
FP,pdns71.ultradns.org,non-DGA,DGA,0.5114847547059
FP,ip72781298.ahcdn.com,non-DGA,DGA,0.9462845348162596
FP,m12.wjffggj.in,non-DGA,DGA,0.8344268792277247
FP,itsusrawsp01635.jnj.com,non-DGA,DGA,0.9712664235704552
FP,www.txfb-ins.com,non-DGA,DGA,0.6430729843820984
FP,m26.yixsomq.cc,non-DGA,DGA,0.5634370916914145
FP,zvezda.lapti.tv,non-DGA,DGA,0.6128672712997237
FP,7158.xg4ken.com,non-DGA,DGA,0.900367910380559
FP,cyberzhg.github.io,non-DGA,DGA,0.5667109919187872
FP,w5t8p3k4.hwcdn.net,non-DGA,DGA,0.786069741147986
FP,m38.nywsqdd.in,non-DGA,DGA,0.6122519903049305
FP,m15.zbisfrm.org,non-DGA,DGA,0.5097004188726034
FP,watch4beauty.com,non-DGA,DGA,0.6248273612405818
FP,m42.zuzgyyd.biz,non-DGA,DGA,0.9818143584286438
FP,oktiabrsky.blg.sudrf.ru,non-DGA,DGA,0.7002097717999363
FP,update.mg-0x0203.oui-0x00199d.com,non-DGA,DGA,0.9342671022924349
FP,files.24media.gr,non-DGA,DGA,0.6701744394386642
FP,t3-5.p-cdn.us,non-DGA,DGA,0.7891268627272591
FP,ip-192-99-214.net,non-DGA,DGA,0.9985779771072516
FP,yhmpxiat.tj,non-DGA,DGA,0.5551589997176652
FP,trace4399.5054399.com,non-DGA,DGA,0.9995756295088479
FP,proxy.plex.tv,non-DGA,DGA,0.5302793113104127
FP,blog.worldofwarships.ru,non-DGA,DGA,0.5010097435127447
FP,www.softpro360.com,non-DGA,DGA,0.6938786131279475
FP,m8.spqdxqd.me,non-DGA,DGA,0.6648584310767748
